Product URL,Product Name,Product Price,Rating,Number of Reviews
https://www.amazon.in/PUMA-Gym-Bag-TRUE-BLUE-Peacoat/dp/B089T9ZWBW/ref=sr_1_228?crid=2M096C61O4MLT&keywords=bags&qid=1688713548&sprefix=ba%2Caps%2C283&sr=8-228,PUMA Gym Bag IND IV TRUE BLUE-Peacoat,619,4.1,197
https://www.amazon.in/F-Gear-Circadian-Guc-Black-Casual-Backpack/dp/B084THQXCD/ref=sr_1_229?crid=2M096C61O4MLT&keywords=bags&qid=1688713548&sprefix=ba%2Caps%2C283&sr=8-229,F Gear Circadian Guc Black 27 Ltrs Casual Backpack (3330),799,4.2,710
https://www.amazon.in/Tabelito-NEO-Backpack-Business-Compartment/dp/B0C2D2XC4H/ref=sr_1_230?crid=2M096C61O4MLT&keywords=bags&qid=1688713548&sprefix=ba%2Caps%2C283&sr=8-230,"Tabelito® NEO 3O L Water Resistant Laptop/College/Office/School/Travel/Business Bag, Unisex Backpack for Men Women Fits Up to 15.6 Inch Laptop Notebook.",399,4.3,79
https://www.amazon.in/ADISA-Womens-Girls-Party-Crossbody/dp/B0B2WBJ2H8/ref=sr_1_231?crid=2M096C61O4MLT&keywords=bags&qid=1688713548&sprefix=ba%2Caps%2C283&sr=8-231,ADISA Women's Girls Party Sling Bag Crossbody,378,3.8,123
https://www.amazon.in/DAHSHA-Sling-Messenger-Bag-Grey/dp/B09CGDFNBV/ref=sr_1_232?crid=2M096C61O4MLT&keywords=bags&qid=1688713548&sprefix=ba%2Caps%2C283&sr=8-232,"DAHSHA Nylon Stylish Small 6 Multi-Pocket Zip Closure Sling Cross Body Travel Messenger One Side Shoulder Bag for Men & Women (Grey, 25 x 10 x 20 CM)",545,4.0,774
https://www.amazon.in/Duffel-Bag-Travelling-Lightweight-Waterproof/dp/B0BZT17QBL/ref=sr_1_233?crid=2M096C61O4MLT&keywords=bags&qid=1688713548&sprefix=ba%2Caps%2C283&sr=8-233,KDR Duffel Bag for Travel | Packing Bags for Travelling | Large Capacity Folding Lightweight | Waterproof Carry Luggage Bag (Mint Green),149,2.8,11
https://www.amazon.in/Artistix-Backpack-Anti-Theft-Charging-Resistance/dp/B082PKX18C/ref=sr_1_234?crid=2M096C61O4MLT&keywords=bags&qid=1688713548&sprefix=ba%2Caps%2C283&sr=8-234,"Artistix Talon Anti Theft Design Laptop Backpack, With USB Charging Port (46 Cm, 25L,Black)",999,4.3,"3,441"
https://www.amazon.in/AirCase-C25-Messenger-Shoulder-Compartments/dp/B07X6DV3VM/ref=sr_1_235?crid=2M096C61O4MLT&keywords=bags&qid=1688713548&sprefix=ba%2Caps%2C283&sr=8-235,"AirCase Office Messenger Sling Bag fits upto 15.6"" Laptop/Macbook, Detachable Shoulder Strap, Waterproof, Shockproof, Carry Handle with Spacious Pockets, For Men & Women, Blue- with Warranty",949,3.9,"1,333"
https://www.amazon.in/Gear-Vintage2-Leather-Backpack-LBPVG2LTH0101/dp/B07G44G1DC/ref=sr_1_236?crid=2M096C61O4MLT&keywords=bags&qid=1688713548&sprefix=ba%2Caps%2C283&sr=8-236,Gear Vintage2 28L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women-Black,981,4.4,"1,817"
https://www.amazon.in/DZert-School-Plush-Backpacks-Cartoon/dp/B07WR935F3/ref=sr_1_237?crid=2M096C61O4MLT&keywords=bags&qid=1688713548&sprefix=ba%2Caps%2C283&sr=8-237,DZert Kids School Bag Soft Plush Backpacks Cartoon Boys Girls Baby (2-5 Years),249,3.7,"11,874"
https://www.amazon.in/Storite-Grocery-Shopping-Reinforced-40x20x33-cm/dp/B079T66RBW/ref=sr_1_238?crid=2M096C61O4MLT&keywords=bags&qid=1688713548&sprefix=ba%2Caps%2C283&sr=8-238,"Storite Pack of 2 Heavy Duty Canvas Grocery Shopping Bags with Reinforced Handles (40x20x33-cm, Green)",549,4.3,"2,156"
https://www.amazon.in/F-Gear-Axe-Black-Navy-Blue-bag/dp/B00MI562BG/ref=sr_1_239?crid=2M096C61O4MLT&keywords=bags&qid=1688713548&sprefix=ba%2Caps%2C283&sr=8-239,F Gear Axe 27L Black Navy Blue School Bag 1860,969,4.2,"5,858"
https://www.amazon.in/Gear-Superior-Backpack-Orange-Black-BKPSPRIOR0601/dp/B08D76PV8B/ref=sr_1_240?crid=2M096C61O4MLT&keywords=bags&qid=1688713548&sprefix=ba%2Caps%2C283&sr=8-240,Gear Superior 16L Water Resistant School Bag//Backpack/College Bag for Men/Women - Orange Black,341,3.9,"1,783"
https://www.amazon.in/F-Gear-Axe-Black-Navy-Blue-bag/dp/B00MI562BG/ref=sr_1_241?crid=2M096C61O4MLT&keywords=bags&qid=1688713549&sprefix=ba%2Caps%2C283&sr=8-241,F Gear Axe 27L Black Navy Blue School Bag 1860,969,4.2,"5,858"
https://www.amazon.in/LIKE-STYLE-Crossbody-Compartment-Statement/dp/B0BNF1BPST/ref=sr_1_242?crid=2M096C61O4MLT&keywords=bags&qid=1688713549&sprefix=ba%2Caps%2C283&sr=8-242,LIKE STYLE Printed Sling Crossbody Bag For Women| Print Vegan Leather Purse With 1 Compartment | Zip Closure With Statement Strap| Stylish & Durable,199,3.2,186
https://www.amazon.in/Aspire-Laptop-Backpack-Resistant-Macbook/dp/B0BYSXLVNN/ref=sr_1_243?crid=2M096C61O4MLT&keywords=bags&qid=1688713549&sprefix=ba%2Caps%2C283&sr=8-243,"Fendo Aspire 27L Laptop Bag, Office Bag for Men | Backpack for Men, School Bags for Boys | Water Resistant | Fits up to 15.6 inch Laptop, Macbook | (Grey)",569,4.6,16
https://www.amazon.in/YuvKuz-TM-Infocus-Digitizer-Assembly/dp/B07MXNWTB2/ref=sr_1_244?crid=2M096C61O4MLT&keywords=bags&qid=1688713549&sprefix=ba%2Caps%2C283&sr=8-244,Lavie Women's Nova Tote Bag | Ladies Purse Handbag,999,4.2,"7,883"
https://www.amazon.in/Harissons-Jake-Gym-Bag-Women/dp/B07NCZGXJ7/ref=sr_1_245?crid=2M096C61O4MLT&keywords=bags&qid=1688713549&sprefix=ba%2Caps%2C283&sr=8-245,"Harissons Jake Gym Bag, 31 L Duffel Bag with Shoe Compartment - Black Grey, Unisex, Polyester | 3 in 1 Multi-Purpose Duffle Backpack for Travel |Quick Access Pocket with Detachable Shoulder Straps","1,534",4.2,"1,255"
https://www.amazon.in/Red-Lemon-Backpack-Accessories-Organiser/dp/B0C2KRH268/ref=sr_1_246?crid=2M096C61O4MLT&keywords=bags&qid=1688713549&sprefix=ba%2Caps%2C283&sr=8-246,"Red Lemon Swiss Cut Design 15.6 Inch Smart Laptop Backpack Bag With USB Charging Port, Anti Theft Pocket and Accessories Organiser for Men Women Boys Girls","1,799",4.4,"1,003"
https://www.amazon.in/Shoulder-Crossbody-Shockproof-Compartment-k00063-Black/dp/B09HV9QYFB/ref=sr_1_247?crid=2M096C61O4MLT&keywords=bags&qid=1688713549&sprefix=ba%2Caps%2C283&sr=8-247,"Arctic Hunter Mens Sling Bag,Mens Shoulder Bag,Crossbody Bag for Men,Chest Bag,Daypack,Shockproof Compartment for iPad,Suitable for College,Outdoor Travels and Business Daily Use For Men, Black","1,329",4.4,481
https://www.amazon.in/Gear-Training-Travel-Duffel-DUFCRSTNG4314/dp/B098FG3GVX/ref=sr_1_248?crid=2M096C61O4MLT&keywords=bags&qid=1688713549&sprefix=ba%2Caps%2C283&sr=8-248,Gear Polyester 23 Cms Travel Bag(DUFCRSTNG4314_Khaki),479,4.1,532
https://www.amazon.in/F-Gear-Circadian-Guc-Black-Casual-Backpack/dp/B084THQXCD/ref=sr_1_249?crid=2M096C61O4MLT&keywords=bags&qid=1688713549&sprefix=ba%2Caps%2C283&sr=8-249,F Gear Circadian Guc Black 27 Ltrs Casual Backpack (3330),799,4.2,710
https://www.amazon.in/LAXELLA-Waterproof-Backpack-College-Business/dp/B0BT9YT9Y4/ref=sr_1_250?crid=2M096C61O4MLT&keywords=bags&qid=1688713549&sprefix=ba%2Caps%2C283&sr=8-250,LAXELLA (15 inch 25 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack (GY-105),459,5.0,1
https://www.amazon.in/ADISA-Womens-Girls-Party-Crossbody/dp/B0B2WBJ2H8/ref=sr_1_251?crid=2M096C61O4MLT&keywords=bags&qid=1688713549&sprefix=ba%2Caps%2C283&sr=8-251,ADISA Women's Girls Party Sling Bag Crossbody,378,3.8,123
https://www.amazon.in/Adjustable-Compartment-Lightweight-Water-Resistant-Travel-Friendly/dp/B0C3R7SN3Q/ref=sr_1_252?crid=2M096C61O4MLT&keywords=bags&qid=1688713549&sprefix=ba%2Caps%2C283&sr=8-252,"Amazon Basics Laptop Messenger Bag with Adjustable Shoulder Strap, Padded Compartment & Storage Pockets, Lightweight, Water-Resistant, Travel-Friendly, Fits Up To 14.1"" Laptops (Unisex, Black & Grey)",799,4.7,978
https://www.amazon.in/DZert-Kids-Grey-School-Years/dp/B07QD1M3R9/ref=sr_1_253?crid=2M096C61O4MLT&keywords=bags&qid=1688713549&sprefix=ba%2Caps%2C283&sr=8-253,DZert Kids School Bag Soft Plush Backpacks Cartoon Boys Girls Baby (2-5 Years),225,3.7,"3,143"
https://www.amazon.in/ROMOFY-Gorgeous-attractive-trendy-crossbody/dp/B0BW9BKHJZ/ref=sr_1_254?crid=2M096C61O4MLT&keywords=bags&qid=1688713549&sprefix=ba%2Caps%2C283&sr=8-254,ROMOFY PU Gorgeous attractive trendy ladies crossbody women sling bag,199,3.3,37
https://www.amazon.in/MosQuick%C2%AE-Drawstring-Organizing-Stationery-multipurpose/dp/B09SB42QFQ/ref=sr_1_255?crid=2M096C61O4MLT&keywords=bags&qid=1688713549&sprefix=ba%2Caps%2C283&sr=8-255,"MosQuick® Clear large Drawstring Bags Clear Plastic Travel Bags, Travel Garments Organizing Storage Plastic Bags ,Shoe bags , Stationery Bag,multipurpose bag - Translucent",310,4.2,63
https://www.amazon.in/ADISA-Backpack-Office-College-Travel/dp/B09Y8FMDVB/ref=sr_1_256?crid=2M096C61O4MLT&keywords=bags&qid=1688713549&sprefix=ba%2Caps%2C283&sr=8-256,ADISA Backpack Office Bag College Travel Back Pack 32 Ltrs (Navy Blue),499,4.1,192
